match_id,inning,batting_team,total_runs
598030,1,Sunrisers Hyderabad,159
598031,1,Kings XI Punjab,149
598032,1,Sunrisers Hyderabad,144
598033,1,Mumbai Indians,194
598034,1,Chennai Super Kings,200
598035,1,Delhi Daredevils,164
598036,1,Royal Challengers Bangalore,171
598037,1,Mumbai Indians,174
598038,1,Chennai Super Kings,164
598039,1,Mumbai Indians,129
598040,1,Kolkata Knight Riders,136
598041,1,Chennai Super Kings,186
598042,1,Royal Challengers Bangalore,187
598043,1,Rajasthan Royals,132
598044,1,Delhi Daredevils,80
598045,1,Royal Challengers Bangalore,174
598046,1,Mumbai Indians,139
598047,1,Pune Warriors,178
598048,1,Sunrisers Hyderabad,161
598049,1,Delhi Daredevils,154
598050,1,Mumbai Indians,170
598051,1,Chennai Super Kings,223
598052,1,Kings XI Punjab,145
598053,1,Kolkata Knight Riders,152
598054,1,Royal Challengers Bangalore,183
598055,1,Pune Warriors,112
598056,1,Sunrisers Hyderabad,150
598057,1,Royal Challengers Bangalore,115
598058,1,Chennai Super Kings,141
598059,1,Delhi Daredevils,120
598060,1,Sunrisers Hyderabad,178
598061,1,Pune Warriors,170
598062,1,Chennai Super Kings,168
598063,1,Mumbai Indians,166
598064,1,Royal Challengers Bangalore,190
598065,1,Sunrisers Hyderabad,136
598066,1,Kings XI Punjab,183
598067,1,Pune Warriors,172
598068,1,Royal Challengers Bangalore,106
598069,1,Kolkata Knight Riders,130
598070,1,Chennai Super Kings,192
598071,1,Sunrisers Hyderabad,132
598072,1,Rajasthan Royals,165
598073,1,Mumbai Indians,148
729279,1,Kolkata Knight Riders,163
729281,1,Delhi Daredevils,145
729283,1,Chennai Super Kings,205
729285,1,Sunrisers Hyderabad,133
729287,1,Mumbai Indians,115
729289,1,Kolkata Knight Riders,166
729291,1,Rajasthan Royals,191
729293,1,Chennai Super Kings,177
729295,1,Kings XI Punjab,193
729297,1,Chennai Super Kings,140
729299,1,Kolkata Knight Riders,150
729301,1,Sunrisers Hyderabad,184
729303,1,Mumbai Indians,141
729305,1,Royal Challengers Bangalore,70
729307,1,Kings XI Punjab,132
729309,1,Mumbai Indians,125
729311,1,Sunrisers Hyderabad,145
729313,1,Royal Challengers Bangalore,124
729315,1,Rajasthan Royals,152
729317,1,Sunrisers Hyderabad,172
733971,1,Chennai Super Kings,148
733973,1,Kings XI Punjab,168
733975,1,Delhi Daredevils,152
733977,1,Sunrisers Hyderabad,155
733979,1,Rajasthan Royals,170
733981,1,Delhi Daredevils,178
733983,1,Mumbai Indians,187
733985,1,Delhi Daredevils,160
733987,1,Kings XI Punjab,231
733989,1,Sunrisers Hyderabad,134
733991,1,Kings XI Punjab,198
733993,1,Delhi Daredevils,143
733995,1,Mumbai Indians,157
733997,1,Kings XI Punjab,149
733999,1,Royal Challengers Bangalore,190
734001,1,Sunrisers Hyderabad,157
734003,1,Rajasthan Royals,148
734005,1,Royal Challengers Bangalore,186
734007,1,Sunrisers Hyderabad,205
734009,1,Mumbai Indians,141
734011,1,Rajasthan Royals,201
734013,1,Chennai Super Kings,138
734015,1,Sunrisers Hyderabad,142
734017,1,Mumbai Indians,178
734019,1,Delhi Daredevils,164
734021,1,Royal Challengers Bangalore,160
734023,1,Chennai Super Kings,154
734025,1,Kings XI Punjab,156
734027,1,Kolkata Knight Riders,195
734029,1,Chennai Super Kings,185
734031,1,Mumbai Indians,173
734033,1,Kings XI Punjab,179
734035,1,Royal Challengers Bangalore,154
734037,1,Sunrisers Hyderabad,160
734039,1,Delhi Daredevils,115
734041,1,Rajasthan Royals,189
734043,1,Kolkata Knight Riders,163
734045,1,Mumbai Indians,173
734047,1,Kings XI Punjab,226
734049,1,Kings XI Punjab,199
829705,1,Mumbai Indians,168
829707,1,Chennai Super Kings,150
829709,1,Rajasthan Royals,162
829711,1,Chennai Super Kings,209
829713,1,Kolkata Knight Riders,177
829715,1,Delhi Daredevils,184
829717,1,Kings XI Punjab,177
829719,1,Royal Challengers Bangalore,166
829721,1,Mumbai Indians,164
829723,1,Chennai Super Kings,165
829725,1,Kings XI Punjab,165
829727,1,Sunrisers Hyderabad,127
829729,1,Mumbai Indians,183
829731,1,Delhi Daredevils,167
829733,1,Kings XI Punjab,155
829735,1,Chennai Super Kings,156
829737,1,Mumbai Indians,209
829739,1,Delhi Daredevils,146
829741,1,Rajasthan Royals,191
829743,1,Sunrisers Hyderabad,176
829745,1,Chennai Super Kings,181
829747,1,Delhi Daredevils,190
829749,1,Rajasthan Royals,130
829751,1,Mumbai Indians,157
829753,1,Chennai Super Kings,192
829757,1,Delhi Daredevils,95
829759,1,Sunrisers Hyderabad,150
829761,1,Kolkata Knight Riders,171
829763,1,Royal Challengers Bangalore,200
829765,1,Chennai Super Kings,134
829767,1,Kings XI Punjab,118
829769,1,Mumbai Indians,187
829771,1,Kolkata Knight Riders,111
829773,1,Sunrisers Hyderabad,192
829775,1,Mumbai Indians,172
829777,1,Rajasthan Royals,189
829779,1,Chennai Super Kings,148
829781,1,Kolkata Knight Riders,167
829783,1,Delhi Daredevils,152
829785,1,Royal Challengers Bangalore,226
829787,1,Sunrisers Hyderabad,201
829789,1,Chennai Super Kings,158
829791,1,Kings XI Punjab,183
829793,1,Sunrisers Hyderabad,163
829795,1,Royal Challengers Bangalore,235
829797,1,Chennai Super Kings,157
829799,1,Sunrisers Hyderabad,185
829801,1,Chennai Super Kings,119
829803,1,Kings XI Punjab,106
829805,1,Mumbai Indians,171
829807,1,Sunrisers Hyderabad,135
829809,1,Kings XI Punjab,130
829811,1,Rajasthan Royals,199
829813,1,Delhi Daredevils,187
829815,1,Sunrisers Hyderabad,113
829817,1,Mumbai Indians,187
