Match_No,On_Field_Umpire,Third_Umpire,Referee,MOM,Toss_Winner,Toss_Decision,Match_Winner,Result_Margin
55,"Virender Kumar Sharma, Virender Kumar Sharma",Virender Kumar Sharma,Pankaj Dharmani,,Sunrisers Hyderabad,Field,Tristan Stubbs plays an aggressive pull shot on the back foot and is,
56,"Sai Darshan Kumar, Sai Darshan Kumar",Sai Darshan Kumar,Arjan Kripal Singh,Shubman Gill,Gujarat Titans,Field,Gujarat Titans,3  Wickets
57,"Adrian Holdstock, Adrian Holdstock",Adrian Holdstock,Amit Sharma,Noor Ahmad,Kolkata Knight Riders,Bat,Chennai Super Kings,2  Wickets
58,"Chris Gaffaney, Chris Gaffaney",Chris Gaffaney,Daniel Manohar,,Punjab Kings,Bat,Priyansh Arya steps down and plays an aggressive lofted straight drive and is,
59,"Kn Ananthapadmanabhan, Kn Ananthapadmanabhan",Kn Ananthapadmanabhan,,,,,,
60,"Michael Gough, Michael Gough",Michael Gough,,,,,,
61,"Chris Gaffaney, Chris Gaffaney",Chris Gaffaney,,,,,,
62,"Rohan Pandit, Rohan Pandit",Rohan Pandit,,,,,,
63,"Kn Ananthapadmanabhan, Kn Ananthapadmanabhan",Kn Ananthapadmanabhan,,,,,,
64,"Michael Gough, Michael Gough",Michael Gough,,,,,,
65,"Rohan Pandit, Rohan Pandit",Rohan Pandit,,,,,,
66,"Madanagopal Jayaraman, Madanagopal Jayaraman",Madanagopal Jayaraman,,,,,,
67,"Michael Gough, Michael Gough",Michael Gough,,,,,,
68,"Nitin Menon, Nitin Menon",Nitin Menon,,,,,,
69,"Adrian Holdstock, Adrian Holdstock",Adrian Holdstock,,,,,,
70,"Madanagopal Jayaraman, Madanagopal Jayaraman",Madanagopal Jayaraman,,,,,,
71,Venue Rajiv Gandhi International Stadium Hyderabad,,,,,,,
72,Venue Rajiv Gandhi International Stadium Hyderabad,,,,,,,
73,Venue Eden Gardens Kolkata,,,,,,,
74,Venue Eden Gardens Kolkata,,,,,,,
