Match_No,Date,Time,Team1,Team2,Venue,Status,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy
Match 46,2025-04-27,19:30:00,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Completed,162,8,20.0,165,4,18.3,Royal Challengers Bengaluru,No,6.0,Wickets
Match 47,2025-04-28,19:30:00,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",Completed,212,2,15.5,209,4,20.0,Rajasthan Royals,No,8.0,Wickets
Match 48,2025-04-29,19:30:00,Delhi Capitals,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Completed,190,9,20.0,204,9,20.0,Kolkata Knight Riders,No,14.0,Runs
Match 49,2025-04-30,19:30:00,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chennai",Completed,190,10,19.2,194,6,19.4,Punjab Kings,No,4.0,Wickets
Match 50,2025-05-01,19:30:00,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Completed,117,10,16.1,217,2,20.0,Mumbai Indians,No,100.0,Runs
Match 51,2025-05-02,19:30:00,Gujarat Titans,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",Completed,224,6,20.0,186,6,20.0,Gujarat Titans,No,38.0,Runs
Match 52,2025-05-03,19:30:00,Royal Challengers Bangalore,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",Completed,213,5,20.0,211,5,20.0,Royal Challengers Bengaluru,No,2.0,Runs
Match 53,2025-05-04,15:30:00,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",,206,4,20.0,205,8,20.0,,No,,
Match 54,2025-05-04,19:30:00,Punjab Kings,Lucknow Super Giants,"Himachal Pradesh Cricket Association Stadium, Dharamshala",Completed,236,5,20.0,199,7,20.0,Punjab Kings,No,37.0,Runs
Match 55,2025-05-05,19:30:00,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",,133,7,0.0,0,0,0.0,,No,,
Match 56,2025-05-06,19:30:00,Mumbai Indians,Gujarat Titans,"Wankhede Stadium, Mumbai",Completed,155,8,20.0,147,7,19.0,Gujarat Titans,No,3.0,Wickets
