Match_No,Umpire1,Umpire2,Third_Umpire,Referee,Player_of_Match,Toss_Winner,Toss_Decision,Match_Winner,Result_Margin,Date,Time,Team1,Team2,Venue_x,Status,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy,Captain_Team1,Coach_Team1,Owner_Team1,Venue_y,Captain_Team2,Coach_Team2,Owner_Team2,Venue
Match 25,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,Prakash Bhatt,Sunil Narine,Kolkata Knight Riders,Field,Kolkata Knight Riders,8  Wickets,2025-04-11,19:30:00,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Completed,103,9,20.0,107,2,10.1,Kolkata Knight Riders,No,8.0,Wickets,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens
Match 26,Ulhas Gandhe,Ulhas Gandhe,Ulhas Gandhe,Narayanankutty V,Aiden Markram,Lucknow Super Giants,Field,Lucknow Super Giants,6  Wickets,2025-04-12,15:30:00,Lucknow Super Giants,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,186,4,19.3,180,6,20.0,Lucknow Super Giants,No,6.0,Wickets,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium
Match 27,Akshay Totre,Akshay Totre,Akshay Totre,Shakti Singh,Abhishek Sharma,Punjab Kings,Bat,Sunrisers Hyderabad,8  Wickets,2025-04-12,19:30:00,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",Completed,247,2,18.3,245,6,20.0,Sunrisers Hyderabad,No,8.0,Wickets,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur"
Match 28,Nitin Menon,Nitin Menon,Nitin Menon,Javagal Srinath,Phil Salt,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,9  Wickets,2025-04-13,15:30:00,Rajasthan Royals,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur",Completed,173,4,20.0,175,1,17.3,Royal Challengers Bengaluru,No,9.0,Wickets,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium
Match 29,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,Prakash Bhatt,Karn Sharma,Delhi Capitals,Field,W     Mumbai Indians,12  Runs,2025-04-13,19:30:00,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Completed,193,10,19.0,205,5,20.0,Mumbai Indians,No,12.0,Runs,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium
Match 30,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Narayanankutty V,Dhoni,Chennai Super Kings,Field,Chennai Super Kings,5  Wickets,2025-04-14,19:30:00,Lucknow Super Giants,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,166,7,20.0,168,5,19.3,Chennai Super Kings,No,5.0,Wickets,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium
Match 31,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Javagal Srinath,Yuzvendra Chahal,Punjab Kings,Bat,Punjab Kings,16  Runs,2025-04-15,19:30:00,Punjab Kings,Kolkata Knight Riders,"New PCA Stadium, Chandigarh",Completed,111,10,15.3,95,10,15.1,Punjab Kings,No,16.0,Runs,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur",Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens
Match 32,Akshay Totre,Akshay Totre,Akshay Totre,Shakti Singh,Mitchell Starc,Rajasthan Royals,Field,Overs  RR                    Delhi Capitals,Super Over,2025-04-16,19:30:00,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Completed,188,5,20.0,188,4,20.0,Delhi Capitals,Yes,,,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium
Match 33,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,Prakash Bhatt,Will Jacks,Mumbai Indians,Field,Mumbai Indians,4  Wickets,2025-04-17,19:30:00,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Completed,166,6,18.1,162,5,20.0,Mumbai Indians,No,4.0,Wickets,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium
Match 34,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Narayanankutty V,Tim David,Punjab Kings,Field,Punjab Kings,5  Wickets,2025-04-18,19:30:00,Royal Challengers Bengaluru,Punjab Kings,"M Chinnaswamy Stadium, Bengaluru",Completed,95,9,14.0,98,5,12.1,Punjab Kings,No,5.0,Wickets,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur"
