Match_No,Team1,Team2,TossWinner,TossDecision,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy,Player_of_Match,Umpire1,Umpire2,Third_Umpire,Referee,Date,Time,Venue,Status,Captain_Team1,Coach_Team1,Owner_Team1,Captain_Team2,Coach_Team2,Owner_Team2,City,Status.1
Match 36,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,Bat,178,5,20.0,180,5,20.0,Lucknow Super Giants,No,2,Runs,Avesh Khan (Lucknow Super Giants),Madanagopal Jayaraman,Vinod Seshan,Chris Gaffaney,Prakash Bhatt,4/19/2025,19:30:00,"Sawai Mansingh Stadium, Jaipur",Completed,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Jaipur,Completed
Match 37,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,157,6,20.0,159,3,18.5,Royal Challengers Bangalore,No,7,Wickets,Virat Kohli (Royal Challengers Bengaluru),Sai Darshan Kumar,Kaushik Gandhi,Nitin Menon,Javagal Srinath,4/20/2025,15:30:00,New Chandigarh,Completed,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Chandigarh,Completed
Match 38,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Field,177,1,15.4,176,5,20.0,Mumbai Indians,No,9,Wickets,Rohit Sharma (Mumbai Indians),Virender Kumar Sharma,Abhijit Bhattacharya,Michael Gough,Narayanankutty V,4/20/2025,19:30:00,"Wankhede Stadium, Mumbai",Completed,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Mumbai,Completed
Match 39,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,Field,159,8,20.0,198,3,20.0,Gujarat Titans,No,39,Runs,Shubman Gill (Gujarat Titans),Rohan Pandit,Anish Sahasrabudhe,Akshay Totre,Rajiv Seth,4/21/2025,19:30:00,"Eden Gardens, Kolkata",Completed,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Kolkata,Completed
Match 40,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Field,159,6,20.0,161,2,17.5,Delhi Capitals,No,8,Wickets,Mukesh Kumar (Delhi Capitals),Sai Darshan Kumar,Kaushik Gandhi,Kn Ananthapadmanabhan,Javagal Srinath,4/22/2025,19:30:00,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Lucknow,Completed
Match 41,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Field,143,8,20.0,146,3,15.4,Mumbai Indians,No,7,Wickets,Trent Boult (Mumbai Indians),Madanagopal Jayaraman,Vinod Seshan,Chris Gaffaney,Iqbal Rashid Siddiqui,4/23/2025,19:30:00,"Rajiv Gandhi International Stadium, Hyderabad",Completed,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Hyderabad,Completed
Match 42,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,205,5,20.0,194,9,20.0,Royal Challengers Bangalore,No,11,Runs,Josh Hazlewood (Royal Challengers Bengaluru),Michael Gough,Ulhas Gandhe,Virender Kumar Sharma,Rajiv Seth,4/24/2025,19:30:00,"M Chinnaswamy Stadium, Bengaluru",Completed,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Bengaluru,Completed
Match 43,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,0,0,0.0,0,0,0.0,,No,,,,Nitin Menon,Mohit Krishna Das,Kn Ananthapadmanabhan,Javagal Srinath,4/25/2025,7:30 pm IST,"MA Chidambaram Stadium, Chennai",Scheduled,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Chennai,Completed
Match 44,Kolkata Knight Riders,Punjab Kings,,,0,0,0.0,0,0,0.0,,No,,,,,,,,4/26/2025,7:30 pm IST,"Eden Gardens, Kolkata",Scheduled,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Kolkata,Completed
Match 45,Mumbai Indians,Lucknow Super Giants,,,0,0,0.0,0,0,0.0,,No,,,,,,,,4/27/2025,3:30 pm IST,"Wankhede Stadium, Mumbai",Scheduled,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Mumbai,Completed
